#,t_obs,tcf,"pi_beta(S, Ccf, tcf)","pi_beta(S, C, tcf)"
78,V75-225,VLX150QD,0.035838961601257324,0.038006365299224854
78,V75-225,VLX75QD,-0.21422743797302246,-0.21170438826084137
79,VLX150QD,D60-120,-0.019826756790280342,-0.014163956046104431
79,VLX150QD,DLX60QD,0.059370867908000946,0.07565794885158539
79,VLX150QD,V150-225,0.00011931690096389502,0.012484773993492126
79,VLX150QD,V75-225,0.022692963480949402,0.04136061668395996
79,VLX150QD,VLX75QD,-0.1208731085062027,-0.12007841467857361
80,V150-225,D60-120,0.04941922053694725,0.039943285286426544
80,V150-225,DLX60QD,0.1132248044013977,0.10842961072921753
80,V150-225,V75-225,0.02085990086197853,0.01735682599246502
80,V150-225,VLX150QD,0.07164940983057022,0.0643971785902977
80,V150-225,VLX75QD,-0.021423211321234703,-0.024876991286873817
81,V75-225,D60-120,0.10282912105321884,0.09964849799871445
81,V75-225,DLX60QD,0.05658379942178726,0.04980954900383949
81,V75-225,V150-225,-0.0026663809549063444,-0.007599338423460722
81,V75-225,VLX150QD,0.11119264364242554,0.10963179916143417
81,V75-225,VLX75QD,0.1223316416144371,0.1161964014172554
82,V150-225,D60-120,0.03954584151506424,0.05601668357849121
82,V150-225,DLX60QD,0.15419727563858032,0.16968899965286255
82,V150-225,V75-225,0.12364375591278076,0.1525455117225647
82,V150-225,VLX150QD,0.0752544030547142,0.09555527567863464
82,V150-225,VLX75QD,-0.18129917979240417,-0.1725080907344818
83,VLX75QD,D60-120,0.03737444430589676,0.03585141897201538
83,VLX75QD,DLX60QD,0.1839158833026886,0.18319350481033325
83,VLX75QD,V150-225,0.04441608488559723,0.05438358336687088
83,VLX75QD,V75-225,-0.006999595556408167,0.0008344189263880253
83,VLX75QD,VLX150QD,0.07065964490175247,0.07164734601974487
84,DLX60QD,D60-120,0.0008763278601691127,0.009645218029618263
84,DLX60QD,V150-225,-0.07899434864521027,-0.08659898489713669
84,DLX60QD,V75-225,-0.14514786005020142,-0.1600656360387802
84,DLX60QD,VLX150QD,0.05875078961253166,0.07014238834381104
